;;Preescolar;Basica primaria;Basica secundaria;Media academica o cl�sica;Media tecnica;Normalista;Tecnica profesional;Tecnologica;Profesional;Especializacion;Maestria;Doctorado;Ninguno;Sin informacion;;;
Total;611,669;1,766;73,833;136,977;210,816;16,401;533;49,009;26,425;63,356;6,588;2,334;106;6,679;16,846;;;
De 10-14 Axos;4,726;33;1,926;2,419;68;5;0;0;0;0;0;0;0;91;184;;;
De 15-19 Axos;106,695;281;18,683;45,261;34,201;1,856;35;1,083;484;296;0;0;0;994;3,521;;;
De 20-24 Axos;174,078;328;17,578;41,899;75,086;5,401;148;13,268;7,008;7,092;66;1;0;1,357;4,846;;;
De 25-29 Axos;152,946;330;13,496;25,518;54,022;4,850;162;17,434;9,694;21,010;1,074;254;5;1,341;3,756;;;
De 30-34 Axos;102,870;362;11,148;13,448;29,700;2,708;115;11,165;6,152;20,803;2,698;935;25;1,238;2,373;;;
De 35-39 Axos;54,424;301;7,775;6,526;14,098;1,259;58;4,947;2,477;11,429;2,172;894;58;1,078;1,352;;;
De 40-44 Axos;14,533;113;2,951;1,779;3,413;300;13;1,068;578;2,564;545;237;12;497;463;;;
De 45-49 Axos;958;15;262;109;186;20;1;42;29;133;27;13;4;72;45;;;
De 50-54 Axos;132;2;14;18;41;2;1;2;3;29;6;0;2;7;5;;;
Sin informacion;307;1;0;0;1;0;0;0;0;0;0;0;0;4;301;;;,,,,,,,,,,,,,
